股票代码,股票名称,所属行业,所属概念
603580,*ST艾艾,"其他塑料制品,基础化工,塑料",
300139,晓程科技,"黄金,贵金属,有色金属",
603255,鼎际得,"基础化工,化学制品,其他化学制品",
2571,德力股份,"其他家居用品,轻工制造,家居用品",
600620,天宸股份,"综合Ⅲ,综合,综合Ⅱ",
688268,华特气体,"电子,电子化学品Ⅲ,电子化学品Ⅱ",
600300,维维股份,"软饮料,食品饮料,饮料乳品",
920045,蘅东光,"通信设备,通信,通信网络设备及器件",
2945,华林证券,"证券Ⅲ,证券Ⅱ,非银金融",
300326,ST凯利,"医药生物,医疗器械,医疗耗材",
3011,海象新材,"轻工制造,瓷砖地板,家居用品",
603067,振华股份,"基础化工,化学原料,无机盐",
688150,莱特光电,"电子,电子化学品Ⅲ,电子化学品Ⅱ",
300136,信维通信,"电子,消费电子,消费电子零部件及组装",
2895,川恒股份,"农化制品,磷肥及磷化工,基础化工",
600141,兴发集团,"农化制品,磷肥及磷化工,基础化工",
600666,奥瑞德,"电子,面板,光学光电子",
2759,天际股份,"电池,电力设备,电池化学品",
2661,克明食品,"预加工食品,食品饮料,食品加工",
301556,托普云农,"IT服务Ⅲ,IT服务Ⅱ,计算机",
301162,国能日新,"计算机,垂直应用软件,软件开发",
301665,泰禾股份,"农药,农化制品,基础化工",
2734,利民股份,"农药,农化制品,基础化工",
300547,川环科技,"汽车,汽车零部件,底盘与发动机系统",
688002,睿创微纳,"军工电子Ⅲ,军工电子Ⅱ,国防军工",
600998,九州通,"医药流通,医药商业,医药生物",
600713,南京医药,"医药流通,医药商业,医药生物",
688351,微电生理,"医药生物,医疗器械,医疗耗材",
605189,富春染织,"印染,纺织服饰,纺织制造",
2588,史丹利,"农化制品,复合肥,基础化工",
2278,神开股份,"机械设备,专用设备,能源及重型设备",
300166,东方国信,"IT服务Ⅲ,IT服务Ⅱ,计算机",
601857,中国石油,"炼油化工,炼化及贸易,石油石化",
